iter	Passed	Remaining
0	0	90
1	2	104
2	2	94
3	3	89
4	4	87
5	5	84
6	6	83
7	7	83
8	8	83
9	9	84
10	10	83
11	11	82
12	11	79
13	12	77
14	13	75
15	13	73
16	14	71
17	15	69
18	16	68
19	16	67
20	17	66
21	18	65
22	19	63
23	19	62
24	20	61
25	21	60
26	21	58
27	22	57
28	23	56
29	23	55
30	24	55
31	25	54
32	26	52
33	26	51
34	27	50
35	28	49
36	28	48
37	29	48
38	30	47
39	30	46
40	31	45
41	31	43
42	32	42
43	33	42
44	33	41
45	34	40
46	35	39
47	35	38
48	36	37
49	37	37
50	37	36
51	38	35
52	39	35
53	40	34
54	41	33
55	41	32
56	42	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	46	27
63	47	26
64	48	25
65	48	25
66	49	24
67	50	23
68	50	22
69	51	22
70	52	21
71	53	20
72	54	19
73	54	19
74	55	18
75	56	17
76	56	17
77	57	16
78	58	15
79	58	14
80	59	13
81	60	13
82	60	12
83	61	11
84	62	10
85	63	10
86	63	9
87	64	8
88	65	8
89	65	7
90	66	6
91	67	5
92	68	5
93	68	4
94	69	3
95	70	2
96	70	2
97	71	1
98	72	0
99	72	0
